year,visits
1984,248785509
1985,263441808
1986,281094850
1987,287244998
1988,282451441
1989,269399837
1990,255581467
1991,267840999
1992,274694549
1993,273120925
1994,268636169
1995,269564307
1996,265796163
1997,275236335
1998,286762265
1999,287130879
2000,285891275
2001,279873926
2002,227299880
2003,266230290
2004,276908337
2005,273488751
2006,272623980
2007,275581547
2008,274852949
2009,285579941
2010,281303769
2011,278939216
2012,282765682
2013,273630895
2014,292800082
2015,307247252
2016,330971689
2017,330882751
2018,318211833
